game_id,date,home_club_id,away_club_id,homeTeamID,awayTeamID,gameID
3047660,2019-01-16,415,1041,174,178,10812.0
3047692,2019-01-16,855,273,169,163,10816.0
3047654,2019-01-16,162,417,171,170,10806.0
3047658,2019-01-16,618,244,175,164,10810.0
3058569,2019-01-18,533,27,120,117,10497.0
3080769,2019-01-18,3709,1108,142,158,10151.0
3047724,2019-01-18,1082,1416,160,224,10851.0
3050382,2019-01-19,985,1237,89,220,9421.0
3081228,2019-01-19,410,130,99,230,9776.0
3080768,2019-01-19,418,368,150,138,10150.0
3047725,2019-01-19,162,667,171,225,10846.0
3058570,2019-01-19,15,18,119,130,10498.0
3050383,2019-01-19,762,603,86,227,9420.0
3081230,2019-01-19,46,6574,106,104,9771.0
3050385,2019-01-19,1010,1132,90,92,9418.0
3058575,2019-01-19,42,86,128,123,10494.0
3058574,2019-01-19,167,38,121,233,10493.0
3050384,2019-01-19,180,29,74,72,9419.0
3058572,2019-01-19,79,39,133,125,10491.0
3058571,2019-01-19,23826,16,136,129,10490.0
3081231,2019-01-19,12,416,95,113,9774.0
3050386,2019-01-19,543,1003,229,75,9417.0
3050381,2019-01-19,31,873,87,78,9422.0
3050377,2019-01-19,11,631,83,80,9426.0
3080771,2019-01-19,5358,13,232,143,10147.0
3047728,2019-01-19,1421,417,177,170,10845.0
3047726,2019-01-19,1160,415,235,174,10847.0
3080764,2019-01-19,940,1049,152,146,10154.0
3058573,2019-01-19,24,60,132,135,10492.0
3050378,2019-01-19,989,379,73,81,9425.0
3047727,2019-01-19,583,855,161,169,10844.0
3058568,2019-01-20,33,82,124,131,10496.0
3080762,2019-01-20,131,1244,148,159,10148.0
3081226,2019-01-20,6195,398,105,96,9773.0
3047721,2019-01-20,1420,995,167,168,10848.0
3080763,2019-01-20,150,12321,153,223,10153.0
3050380,2019-01-20,1110,281,219,88,9423.0
3081223,2019-01-20,2722,1025,221,97,9775.0
3080767,2019-01-20,367,681,145,140,10149.0
3047730,2019-01-20,618,1041,175,178,10852.0
3080766,2019-01-20,3368,366,151,231,10156.0
3050379,2019-01-20,931,148,228,82,9424.0
3080770,2019-01-20,1050,621,154,147,10152.0
3058576,2019-01-20,4,44,234,122,10495.0
3081222,2019-01-20,8970,800,112,107,9769.0
3081225,2019-01-20,1390,749,116,108,9767.0
3047729,2019-01-20,273,969,163,166,10843.0
3047723,2019-01-20,1162,244,165,164,10850.0
3047722,2019-01-20,40,2969,176,181,10849.0
3081229,2019-01-20,430,1038,110,102,9768.0
3081227,2019-01-21,252,5,101,111,9770.0
3080765,2019-01-21,1533,714,156,141,10155.0
3081224,2019-01-21,506,862,98,109,9772.0
3047719,2019-01-23,1160,1420,235,167,10837.0
3047734,2019-01-25,244,1082,164,160,10855.0
3058580,2019-01-25,44,33,122,124,10502.0
3080776,2019-01-26,1049,1050,146,154,10162.0
3047732,2019-01-26,2969,162,181,171,10857.0
3058578,2019-01-26,16,42,129,128,10500.0
3080779,2019-01-26,1244,1533,159,156,10159.0
3080774,2019-01-26,13,3709,143,142,10164.0
3047739,2019-01-26,667,40,225,176,10858.0
3093779,2019-01-26,82,15,131,119,10506.0
3047733,2019-01-26,855,1421,169,177,10856.0
3058583,2019-01-26,39,4,125,234,10505.0
3081241,2019-01-26,1038,410,102,99,9779.0
3058581,2019-01-26,86,24,123,132,10503.0
3081238,2019-01-26,5,6195,111,105,9777.0
3081232,2019-01-26,6574,1390,104,116,9780.0
3058582,2019-01-26,60,533,135,120,10504.0
3047737,2019-01-26,417,1160,170,235,10860.0
3080781,2019-01-26,368,3368,138,151,10166.0
3058579,2019-01-26,18,167,130,121,10501.0
3080777,2019-01-27,12321,131,223,148,10161.0
3081234,2019-01-27,1025,8970,97,112,9783.0
3047738,2019-01-27,583,273,161,163,10859.0
3081236,2019-01-27,416,46,113,106,9781.0
3058577,2019-01-27,27,79,117,133,10499.0
3081237,2019-01-27,398,506,96,98,9786.0
3081233,2019-01-27,862,430,109,110,9784.0
3080778,2019-01-27,366,940,231,152,10160.0
3047735,2019-01-27,969,1162,166,165,10854.0
3080775,2019-01-27,714,418,141,150,10163.0
3047731,2019-01-27,1416,1041,224,178,10853.0
3080780,2019-01-27,681,5358,140,232,10158.0
3047740,2019-01-27,415,1420,174,167,10862.0
3081240,2019-01-27,130,2722,230,221,9778.0
3058584,2019-01-27,38,23826,233,136,10507.0
3080773,2019-01-27,621,150,147,153,10165.0
