playerID,name
928,Wes Brown
929,Adam Johnson
930,Steven Fletcher
931,Jordi Gomez
932,Danny Graham
933,Brede Hangeland
934,Axel Tuanzebe
935,Kurt Zouma
936,Ramires
937,Joao Teixeira
938,Carl Jenkinson
939,Mauro Zarate
940,Nikica Jelavic
941,Fabricio Coloccini
942,Florian Thauvin
943,Massadio Haidara
944,Glen Johnson
945,Marc Wilson
946,Marco van Ginkel
947,Victor Ibarbo
948,Alessandro Diamanti
949,Giedrius Arlauskis
951,Phil Jones
952,Gaston Ramirez
953,Steven Caulker
954,Kelvin Davis
955,Ritchie de Laet
956,Andrej Kramaric
957,Yann Kermorgant
958,Tokelo Rantie
959,Joe Bennett
960,Clinton NJie
961,Jordan Amavi
962,Jose angel Crespo
963,Eder
964,Kyle Bartley
965,Santiago Cazorla
966,Alex Oxlade-Chamberlain
967,Mathieu Debuchy
968,Liam Bridcutt
970,Mikel Arteta
971,Harry Winks
972,Jerome Sinclair
973,Paulo Gazzaniga
974,Yohan Benalouane
975,Lee Tomlin
976,Baily Cargill
977,Tyias Browning
978,Sam Johnstone
980,Franck Tabanou
981,Kyle Lafferty
982,Tim Krul
983,Kevin Mbabu
984,Mike Williamson
985,Mason Holgate
986,Danny Ings
987,Joseph Gomez
988,Jordan Rossiter
990,James Morrison
992,James Wilson
993,Serge Gnabry
994,Aiden McGeady
998,Ivan Toney
999,Joseph Dodoo
1000,Federico Fazio
1001,Peter Odemwingie
1003,Pablo Maffeo
1004,Joe Cole
1006,Luke Shaw
1007,Steve Sidwell
1008,Brown Ideye
1010,Gary Hooper
1011,Bradley Johnson
1012,Ricky van Wolfswinkel
1013,Sam Field
1014,Tyler Roberts
1015,Rushian Hepburn-Murphy
1016,Miguel Layun
1017,Matej Vydra
1018,Josh Cullen
1020,Elliot Lee
1022,Pedro Chirivella
1023,Cameron Brannagan
1024,Tyrone Mings
1025,Daniel Bachmann
1026,Libor Kozak
1027,Lynden Gooch
1028,Kevin Nolan
1029,Modibo Maiga
1030,Fernando Forestieri
1031,Tony Hibbert
1032,Kieran Dowell
1033,Emanuele Giaccherini
1034,Adam Matthews
1035,Kenji Gorre
1036,Jack Wilshere
1037,Cameron Borthwick-Jackson
1039,Jason Denayer
1040,Angelino
1041,Nathan Baker
1042,Tom Davies
1043,Callum Connolly
1044,Oliver Shenton
1045,Matt Grimes
1046,George Honeyman
1047,Will Keane
1048,Donald Love
1049,Ryan Seager
1050,Ryan Allsop
1053,Keinan Davis
1054,Bersant Celina
1055,Aleix Garcia
1056,Jeff Reine-Adelaide
1059,Hiram Boateng
1060,Jonathan Williams
1062,Gerhard Tremmel
1063,Tiago Ilori
1064,Sylvain Marveaux
1066,Charles NZogbia
1070,Sullay Kaikai
1071,Papy Djilobodji
1072,Nick Powell
1078,Sergi Canos
1079,Thomas Robson
1080,Rees Greenwood
1084,Jonjoe Kenny
1086,Dean Hammond
1088,Gabriele Angella
1089,Juan Cuadrado
1092,Diego Poyet
1093,Mattia Perin
1094,Nicolas Burdisso
1095,Ezequiel Munoz
1096,Armando Izzo
1097,Edenilson
1098,Miguel Veloso
1099,Tomas Rincon
1100,Diego Laxalt
1101,Luca Rigoni
1102,Giovanni Simeone
1103,Nicola Ninkovic
1104,Leonardo Pavoletti
1105,Riccardo Fiamozzi
1106,Darko Lazovic
1107,Santiago Gentiletti
1108,Lucas Orban
1109,Lucas Ocampos
1111,Olivier Ntcham
1112,Isaac Cofie
1113,Eugenio Lamanna
1114,Davide Biraschi
1115,Goran Pandev
1116,Gianluigi Donnarumma
1117,Andrea Poli
1118,Gabriel Paletta
1119,Alessio Romagnoli
1120,Mattia De Sciglio
1121,Giacomo Bonaventura
1122,Manuel Locatelli
1123,Juraj Kucka
1124,Keisuke Honda
1125,Carlos Bacca
1126,MBaye Niang
1127,Luiz Adriano
1128,Gustavo Gomez
1129,Suso
1130,Jose Sosa
1131,Rodrigo Ely
1132,Gabriel
1133,Cristian Zapata
1134,Mario Pasalic
1135,Ignazio Abate
1136,Gianluca Lapadula
1138,Orestis Karnezis
1139,Silvan Widmer
1140,Danilo
1141,Felipe
1142,Samir
1143,Sven Kums
1144,Seko Fofana
1145,Rodrigo de Paul
1146,Jakub Jankto
1147,Cyril Thereau
1148,Duvan Zapata
1149,Thomas Heurtaux
1150,Emmanuel Badu
1151,Emil Hallfredsson
1152,Lucas Evangelista
1153,Ryder Matos
1154,Stipe Perica
1155,Andrija Balic
1156,Ali Adnan
1158,Simone Scuffet
1159,Molla Wague
1160,Albano Bizzarri
1161,Francesco Zampano
1162,Hugo Campagnaro
1163,Michele Fornasier
1164,Cristiano Biraghi
