,club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
246,281,manchester-city,Manchester City,GB1,,23,27.3,16,69.6,18,Etihad Stadium,55017,+€20.40m,Pep Guardiola,https://www.transfermarkt.co.uk/manchester-city/startseite/verein/281
247,985,manchester-united,Manchester United,GB1,,30,26.1,19,63.3,19,Old Trafford,74879,€-227.07m,Erik ten Hag,https://www.transfermarkt.co.uk/manchester-united/startseite/verein/985
252,1148,fc-brentford,Fc Brentford,GB1,,24,25.8,18,75.0,13,Brentford Community Stadium,17250,€-46.90m,Thomas Frank,https://www.transfermarkt.co.uk/fc-brentford/startseite/verein/1148
257,379,west-ham-united,West Ham United,GB1,,24,27.8,18,75.0,15,London Stadium,60000,€-164.20m,David Moyes,https://www.transfermarkt.co.uk/west-ham-united/startseite/verein/379
280,703,nottingham-forest,Nottingham Forest,GB1,,32,26.3,20,62.5,15,The City Ground,30445,€-154.95m,Steve Cooper,https://www.transfermarkt.co.uk/nottingham-forest/startseite/verein/703
284,29,fc-everton,Fc Everton,GB1,,27,27.6,13,48.1,11,Goodison Park,39571,€-20.20m,Frank Lampard,https://www.transfermarkt.co.uk/fc-everton/startseite/verein/29
287,3,1-fc-koln,1 Fc Koln,L1,,30,24.9,11,36.7,7,RheinEnergieSTADION,50000,+€5.52m,Steffen Baumgart,https://www.transfermarkt.co.uk/1-fc-koln/startseite/verein/3
288,167,fc-augsburg,Fc Augsburg,L1,,29,26.2,14,48.3,7,WWK ARENA,30660,€-6.10m,Enrico Maaßen,https://www.transfermarkt.co.uk/fc-augsburg/startseite/verein/167
289,44,hertha-bsc,Hertha Bsc,L1,,32,25.3,19,59.4,8,Olympiastadion Berlin,74667,+€17.65m,Sandro Schwarz,https://www.transfermarkt.co.uk/hertha-bsc/startseite/verein/44
291,89,1-fc-union-berlin,1 Fc Union Berlin,L1,,29,26.6,13,44.8,8,Stadion An der Alten Försterei,22012,+€10.92m,Urs Fischer,https://www.transfermarkt.co.uk/1-fc-union-berlin/startseite/verein/89
292,79,vfb-stuttgart,Vfb Stuttgart,L1,,27,22.9,14,51.9,6,Mercedes-Benz Arena,60449,+€25.65m,Michael Wimmer,https://www.transfermarkt.co.uk/vfb-stuttgart/startseite/verein/79
